French,English
partie,part
histoire,history
seulement,only
police,police
pensais,thought
aide,help
demande,request
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
pourrais,could
type,type
donné,given
corps,body
endroit,place
façon,way
écoute,listen
premier,first
perdu,lost
côté,side
pouvoir,power
tiens,here
tellement,so much
enfant,child
venu,came
venez,come
minutes,minutes
belle,beautiful
droit,law
cause,cause
espère,hope
attendez,Wait
parti,left
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
gros,large
plutôt,rather
filles,girls
jouer,to play
bureau,office
